,precision,recall,f1-score,support
Normal mode,0.99,0.989,0.99,731.0
Partial discharge,0.973,0.947,0.96,38.0
Low energy discharge,0.882,0.918,0.9,49.0
Low-temperature overheating,0.902,0.902,0.902,82.0
accuracy,0.976,0.976,0.976,0.976
macro avg,0.937,0.939,0.938,900.0
weighted avg,0.976,0.976,0.976,900.0
