iter	Passed	Remaining
401	12540	81045
402	12571	81012
403	12601	80974
404	12630	80929
405	12664	80912
406	12698	80901
407	12733	80897
408	12767	80882
409	12803	80879
410	12838	80870
411	12872	80861
412	12916	80906
413	12954	80918
414	12988	80906
415	13023	80895
416	13057	80883
417	13091	80865
418	13125	80854
419	13159	80835
420	13193	80823
421	13228	80811
422	13262	80799
423	13297	80786
424	13327	80747
425	13357	80712
426	13387	80667
427	13419	80640
428	13447	80593
429	13476	80546
430	13508	80515
431	13536	80469
432	13568	80438
433	13596	80389
434	13626	80350
435	13657	80315
436	13686	80271
437	13717	80235
438	13747	80198
439	13777	80160
440	13807	80122
441	13837	80083
442	13865	80033
443	13897	80005
444	13926	79959
445	13956	79924
446	13984	79870
447	14013	79828
448	14042	79784
449	14072	79742
450	14101	79697
451	14129	79652
452	14160	79616
453	14189	79575
454	14220	79543
455	14252	79513
456	14282	79476
457	14311	79434
458	14340	79387
459	14369	79345
460	14397	79297
461	14426	79249
462	14457	79220
463	14487	79179
464	14516	79140
465	14547	79104
466	14575	79057
467	14603	79006
468	14631	78959
469	14659	78914
470	14689	78875
471	14718	78832
472	14749	78800
473	14782	78777
474	14811	78734
475	14840	78693
476	14873	78669
477	14903	78631
478	14934	78601
479	14964	78562
480	14998	78546
481	15029	78516
482	15060	78484
483	15090	78443
484	15120	78410
485	15150	78369
486	15180	78331
487	15210	78294
488	15240	78258
489	15272	78232
490	15306	78213
491	15340	78197
492	15369	78154
493	15398	78113
494	15428	78075
495	15457	78036
496	15486	77991
497	15519	77969
498	15551	77946
499	15585	77926
500	15618	77905
501	15649	77875
502	15678	77832
503	15710	77802
504	15738	77759
505	15768	77718
506	15797	77679
507	15825	77632
508	15856	77599
509	15885	77559
510	15915	77519
511	15944	77482
512	15972	77434
513	16001	77393
514	16032	77358
515	16061	77317
516	16089	77275
517	16119	77236
518	16148	77197
519	16177	77156
520	16207	77118
521	16237	77082
522	16267	77043
523	16294	76996
524	16326	76969
525	16359	76945
526	16390	76915
527	16419	76873
528	16449	76836
529	16477	76793
530	16509	76762
