iter	Accuracy_SumError	Accuracy_SumWeight	MultiClass_SumError	MultiClass_SumWeight
97	2161.299989	2241.099987	479.9454733	2241.099987
98	2159.999989	2241.099987	475.5144088	2241.099987
99	2159.999989	2241.099987	471.1657891	2241.099987
100	2159.999989	2241.099987	466.2058909	2241.099987
101	2159.999989	2241.099987	461.5509662	2241.099987
102	2159.999989	2241.099987	457.034149	2241.099987
103	2159.999989	2241.099987	453.4638473	2241.099987
104	2159.999989	2241.099987	449.3867003	2241.099987
105	2162.599989	2241.099987	445.2356903	2241.099987
106	2162.599989	2241.099987	441.9176951	2241.099987
107	2163.899989	2241.099987	437.382256	2241.099987
108	2165.399989	2241.099987	433.4579062	2241.099987
109	2166.699989	2241.099987	429.5400556	2241.099987
110	2166.699989	2241.099987	425.7208435	2241.099987
111	2166.699989	2241.099987	422.4511237	2241.099987
112	2166.699989	2241.099987	418.9917896	2241.099987
113	2167.999989	2241.099987	414.9339639	2241.099987
114	2167.999989	2241.099987	412.1548265	2241.099987
115	2169.299989	2241.099987	408.7722117	2241.099987
116	2169.299989	2241.099987	405.4717064	2241.099987
117	2169.299989	2241.099987	401.7244787	2241.099987
118	2169.299989	2241.099987	398.6751877	2241.099987
119	2169.299989	2241.099987	394.857502	2241.099987
120	2169.299989	2241.099987	391.8525153	2241.099987
121	2169.299989	2241.099987	388.2774675	2241.099987
122	2169.299989	2241.099987	385.749132	2241.099987
123	2169.299989	2241.099987	382.4241057	2241.099987
124	2167.999989	2241.099987	379.0969951	2241.099987
125	2167.999989	2241.099987	376.5510653	2241.099987
126	2169.299989	2241.099987	373.5109895	2241.099987
127	2169.299989	2241.099987	370.2910201	2241.099987
128	2169.299989	2241.099987	367.2792283	2241.099987
129	2169.299989	2241.099987	364.7125654	2241.099987
130	2170.599988	2241.099987	361.8528176	2241.099987
131	2170.599988	2241.099987	358.6627022	2241.099987
132	2174.499988	2241.099987	355.983482	2241.099987
133	2174.499988	2241.099987	353.2289784	2241.099987
134	2174.499988	2241.099987	351.0506618	2241.099987
135	2175.999988	2241.099987	348.6359792	2241.099987
136	2175.999988	2241.099987	346.1579167	2241.099987
137	2175.999988	2241.099987	343.6514036	2241.099987
138	2175.999988	2241.099987	341.6776887	2241.099987
139	2175.999988	2241.099987	338.6860784	2241.099987
140	2175.999988	2241.099987	336.3619322	2241.099987
141	2175.999988	2241.099987	333.3478949	2241.099987
